step,left_arm_j1,left_arm_j2,left_arm_j3,left_arm_j4,left_arm_j5,left_arm_j6,left_arm_j7,right_arm_j1,right_arm_j2,right_arm_j3,right_arm_j4,right_arm_j5,right_arm_j6,right_arm_j7,left_hand_j1,left_hand_j2,left_hand_j3,left_hand_j4,left_hand_j5,left_hand_j6,right_hand_j1,right_hand_j2,right_hand_j3,right_hand_j4,right_hand_j5,right_hand_j6
20,-0.10976375725713464,-1.373975539590645,-1.114829059711378,-0.9960070676714217,0.28651325639897574,-0.5590813358029424,0.5916666430576886,0.5410520681182421,-1.4270335648302392,0.32524211010388493,-1.1307116198203926,-2.0878326739930766,0.943420288786717,2.34010260562165,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
21,-0.10976375725713464,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.5507212070879929,-1.426981233714819,0.32524211010388493,-1.137780181985681,-2.096175292423859,0.9433504473871297,2.3401199161687356,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
22,-0.10976375725713464,-1.373975539590645,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590638920978023,0.5916666430576886,0.5615422298082301,-1.426981233714819,0.3252246663987449,-1.1475016520708516,-2.102475932088823,0.9433678910922697,2.34017238044221,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
23,-0.10979866131217147,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590638920978023,0.5916666430576886,0.5727472803576567,-1.4269113257362045,0.32529447450881865,-1.158671748630971,-2.102423600973403,0.9435773487120044,2.3401896909892956,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
24,-0.10976375725713464,-1.3739580958855049,-1.114863947121658,-0.9959721136821144,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.5855230633180121,-1.4268764383259245,0.32529447450881865,-1.1611675300465387,-2.1024584883836828,0.943437732491857,2.34031193008333,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
25,-0.10981611333968991,-1.373975539590645,-1.114863947121658,-0.9960070676714217,0.2865307001041158,-0.5590813358029424,0.5916491327735214,0.5967106035832714,-1.4269113257362045,0.325259553809025,-1.1646232478770255,-2.102510819499103,0.9435075073124171,2.340434169177365,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
26,-0.10979866131217147,-1.373975539590645,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.6073571226730812,-1.4269113257362045,0.325259553809025,-1.1647454869710603,-2.1025981711828576,0.943455176196997,2.357713024645908,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
27,-0.10976375725713464,-1.3739580958855049,-1.114863947121658,-0.9959721136821144,0.2865307001041158,-0.5590638920978023,0.5916666430576886,0.6213895847728177,-1.426300529740195,0.32531191821395866,-1.1647454869710603,-2.103156636063447,0.9436471901115917,2.435641911831589,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
28,-0.10979866131217147,-1.3739580958855049,-1.114863947121658,-0.9960070676714217,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.6359281806377238,-1.414781292761166,0.32529447450881865,-1.1647803743813403,-2.1142744015081463,0.9438740914364665,2.4806714384909756,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
29,-0.10976375725713464,-1.3739580958855049,-1.114863947121658,-0.9960070676714217,0.28656562080390946,-0.5590987795080824,0.5916666430576886,0.647045946082423,-1.3951288949710898,0.32531191821395866,-1.1647629306762002,-2.146301177303276,0.9441358801716213,2.521756290943737,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
30,-0.10979866131217147,-1.3739580958855049,-1.114811616006238,-0.9960245113765617,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.6511648576033668,-1.3787228905498203,0.32524211010388493,-1.1647629306762002,-2.1818186914972264,0.9631948590918006,2.574098857956481,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
31,-0.10979866131217147,-1.373975539590645,-1.114811616006238,-0.9960245113765617,0.28656562080390946,-0.5590813358029424,0.5916666430576886,0.6510950827828068,-1.3658423787795975,0.3252246663987449,-1.1646931558556401,-2.2107910878381443,1.0216633624019997,2.6335797619550743,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
32,-0.10979866131217147,-1.3739580958855049,-1.114829059711378,-0.9959721136821144,0.2865307001041158,-0.5590638920978023,0.5917015304679687,0.6507808963532047,-1.3515305510815117,0.3251024938837375,-1.1644488108256255,-2.250148214533717,1.0618932069867912,2.6899538222259802,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
33,-0.10979866131217147,-1.3739580958855049,-1.114863947121658,-0.9960070676714217,0.2865307001041158,-0.5590987795080824,0.5916666430576886,0.6506238364279173,-1.3304994347951014,0.3251024938837375,-1.1643265717315907,-2.2851421512573578,1.071283113516247,2.7371125461768857,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
34,-0.1097463052296162,-1.373975539590645,-1.114863947121658,-0.9959721136821144,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.6505889490176373,-1.3063440310758647,0.3251024938837375,-1.1643789028470108,-2.3129974846790415,1.081981963721477,2.7796637351258444,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
35,-0.10979866131217147,-1.3739580958855049,-1.114863947121658,-0.9960070676714217,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.6505715053124972,-1.2869359783158032,0.3251199375888776,-1.1644313671204853,-2.343052056528913,1.1065736598062959,2.8270842478119045,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
36,-0.10976375725713464,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.28651325639897574,-0.5590987795080824,0.5916666430576886,0.6506238364279173,-1.2709487559759487,0.3251199375888776,-1.1644313671204853,-2.3708551919932312,1.1396650342471843,2.8753950552503778,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
37,-0.10979866131217147,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.6506238364279173,-1.2564450475213225,0.3251024938837375,-1.1643265717315907,-2.4057966644433977,1.1781321325064524,2.9221697513720937,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
